,Full_Date,Month,Day,Year,Week Number,Day of Week,Day.1,Count
107,2012-04-17,4,17,2012,16,3,Tue,3
108,2012-04-18,4,18,2012,16,4,Wed,3
109,2012-04-19,4,19,2012,16,5,Thu,3
110,2012-04-20,4,20,2012,16,6,Fri,3
111,2012-04-21,4,21,2012,16,7,Sat,3
112,2012-04-22,4,22,2012,17,1,Sun,4
113,2012-04-23,4,23,2012,17,2,Mon,4
114,2012-04-24,4,24,2012,17,3,Tue,4
115,2012-04-25,4,25,2012,17,4,Wed,4
116,2012-04-26,4,26,2012,17,5,Thu,4
117,2012-04-27,4,27,2012,17,6,Fri,4
118,2012-04-28,4,28,2012,17,7,Sat,4
119,2012-04-29,4,29,2012,18,1,Sun,5
120,2012-04-30,4,30,2012,18,2,Mon,5
121,2012-05-01,5,1,2012,18,3,Tue,1
122,2012-05-02,5,2,2012,18,4,Wed,1
123,2012-05-03,5,3,2012,18,5,Thu,1
124,2012-05-04,5,4,2012,18,6,Fri,1
125,2012-05-05,5,5,2012,18,7,Sat,1
126,2012-05-06,5,6,2012,19,1,Sun,1
127,2012-05-07,5,7,2012,19,2,Mon,1
128,2012-05-08,5,8,2012,19,3,Tue,2
129,2012-05-09,5,9,2012,19,4,Wed,2
130,2012-05-10,5,10,2012,19,5,Thu,2
131,2012-05-11,5,11,2012,19,6,Fri,2
132,2012-05-12,5,12,2012,19,7,Sat,2
133,2012-05-13,5,13,2012,20,1,Sun,2
134,2012-05-14,5,14,2012,20,2,Mon,2
135,2012-05-15,5,15,2012,20,3,Tue,3
136,2012-05-16,5,16,2012,20,4,Wed,3
137,2012-05-17,5,17,2012,20,5,Thu,3
138,2012-05-18,5,18,2012,20,6,Fri,3
139,2012-05-19,5,19,2012,20,7,Sat,3
140,2012-05-20,5,20,2012,21,1,Sun,3
141,2012-05-21,5,21,2012,21,2,Mon,3
142,2012-05-22,5,22,2012,21,3,Tue,4
143,2012-05-23,5,23,2012,21,4,Wed,4
144,2012-05-24,5,24,2012,21,5,Thu,4
145,2012-05-25,5,25,2012,21,6,Fri,4
146,2012-05-26,5,26,2012,21,7,Sat,4
147,2012-05-27,5,27,2012,22,1,Sun,4
148,2012-05-28,5,28,2012,22,2,Mon,4
149,2012-05-29,5,29,2012,22,3,Tue,5
150,2012-05-30,5,30,2012,22,4,Wed,5
151,2012-05-31,5,31,2012,22,5,Thu,5
152,2012-06-01,6,1,2012,22,6,Fri,1
153,2012-06-02,6,2,2012,22,7,Sat,1
154,2012-06-03,6,3,2012,23,1,Sun,1
155,2012-06-04,6,4,2012,23,2,Mon,1
156,2012-06-05,6,5,2012,23,3,Tue,1
157,2012-06-06,6,6,2012,23,4,Wed,1
158,2012-06-07,6,7,2012,23,5,Thu,1
159,2012-06-08,6,8,2012,23,6,Fri,2
160,2012-06-09,6,9,2012,23,7,Sat,2
161,2012-06-10,6,10,2012,24,1,Sun,2
162,2012-06-11,6,11,2012,24,2,Mon,2
163,2012-06-12,6,12,2012,24,3,Tue,2
164,2012-06-13,6,13,2012,24,4,Wed,2
165,2012-06-14,6,14,2012,24,5,Thu,2
166,2012-06-15,6,15,2012,24,6,Fri,3
167,2012-06-16,6,16,2012,24,7,Sat,3
168,2012-06-17,6,17,2012,25,1,Sun,3
169,2012-06-18,6,18,2012,25,2,Mon,3
170,2012-06-19,6,19,2012,25,3,Tue,3
171,2012-06-20,6,20,2012,25,4,Wed,3
172,2012-06-21,6,21,2012,25,5,Thu,3
173,2012-06-22,6,22,2012,25,6,Fri,4
174,2012-06-23,6,23,2012,25,7,Sat,4
175,2012-06-24,6,24,2012,26,1,Sun,4
176,2012-06-25,6,25,2012,26,2,Mon,4
177,2012-06-26,6,26,2012,26,3,Tue,4
178,2012-06-27,6,27,2012,26,4,Wed,4
179,2012-06-28,6,28,2012,26,5,Thu,4
180,2012-06-29,6,29,2012,26,6,Fri,5
181,2012-06-30,6,30,2012,26,7,Sat,5
182,2012-07-01,7,1,2012,27,1,Sun,1
183,2012-07-02,7,2,2012,27,2,Mon,1
184,2012-07-03,7,3,2012,27,3,Tue,1
185,2012-07-04,7,4,2012,27,4,Wed,1
186,2012-07-05,7,5,2012,27,5,Thu,1
187,2012-07-06,7,6,2012,27,6,Fri,1
188,2012-07-07,7,7,2012,27,7,Sat,1
189,2012-07-08,7,8,2012,28,1,Sun,2
190,2012-07-09,7,9,2012,28,2,Mon,2
191,2012-07-10,7,10,2012,28,3,Tue,2
192,2012-07-11,7,11,2012,28,4,Wed,2
193,2012-07-12,7,12,2012,28,5,Thu,2
194,2012-07-13,7,13,2012,28,6,Fri,2
195,2012-07-14,7,14,2012,28,7,Sat,2
196,2012-07-15,7,15,2012,29,1,Sun,3
197,2012-07-16,7,16,2012,29,2,Mon,3
198,2012-07-17,7,17,2012,29,3,Tue,3
199,2012-07-18,7,18,2012,29,4,Wed,3
200,2012-07-19,7,19,2012,29,5,Thu,3
201,2012-07-20,7,20,2012,29,6,Fri,3
202,2012-07-21,7,21,2012,29,7,Sat,3
203,2012-07-22,7,22,2012,30,1,Sun,4
204,2012-07-23,7,23,2012,30,2,Mon,4
205,2012-07-24,7,24,2012,30,3,Tue,4
206,2012-07-25,7,25,2012,30,4,Wed,4
207,2012-07-26,7,26,2012,30,5,Thu,4
208,2012-07-27,7,27,2012,30,6,Fri,4
209,2012-07-28,7,28,2012,30,7,Sat,4
210,2012-07-29,7,29,2012,31,1,Sun,5
211,2012-07-30,7,30,2012,31,2,Mon,5
212,2012-07-31,7,31,2012,31,3,Tue,5
213,2012-08-01,8,1,2012,31,4,Wed,1
214,2012-08-02,8,2,2012,31,5,Thu,1
215,2012-08-03,8,3,2012,31,6,Fri,1
216,2012-08-04,8,4,2012,31,7,Sat,1
217,2012-08-05,8,5,2012,32,1,Sun,1
218,2012-08-06,8,6,2012,32,2,Mon,1
219,2012-08-07,8,7,2012,32,3,Tue,1
220,2012-08-08,8,8,2012,32,4,Wed,2
221,2012-08-09,8,9,2012,32,5,Thu,2
222,2012-08-10,8,10,2012,32,6,Fri,2
223,2012-08-11,8,11,2012,32,7,Sat,2
224,2012-08-12,8,12,2012,33,1,Sun,2
225,2012-08-13,8,13,2012,33,2,Mon,2
226,2012-08-14,8,14,2012,33,3,Tue,2
227,2012-08-15,8,15,2012,33,4,Wed,3
228,2012-08-16,8,16,2012,33,5,Thu,3
229,2012-08-17,8,17,2012,33,6,Fri,3
230,2012-08-18,8,18,2012,33,7,Sat,3
231,2012-08-19,8,19,2012,34,1,Sun,3
232,2012-08-20,8,20,2012,34,2,Mon,3
233,2012-08-21,8,21,2012,34,3,Tue,3
234,2012-08-22,8,22,2012,34,4,Wed,4
235,2012-08-23,8,23,2012,34,5,Thu,4
236,2012-08-24,8,24,2012,34,6,Fri,4
237,2012-08-25,8,25,2012,34,7,Sat,4
238,2012-08-26,8,26,2012,35,1,Sun,4
239,2012-08-27,8,27,2012,35,2,Mon,4
240,2012-08-28,8,28,2012,35,3,Tue,4
241,2012-08-29,8,29,2012,35,4,Wed,5
242,2012-08-30,8,30,2012,35,5,Thu,5
243,2012-08-31,8,31,2012,35,6,Fri,5
244,2012-09-01,9,1,2012,35,7,Sat,1
245,2012-09-02,9,2,2012,36,1,Sun,1
246,2012-09-03,9,3,2012,36,2,Mon,1
247,2012-09-04,9,4,2012,36,3,Tue,1
248,2012-09-05,9,5,2012,36,4,Wed,1
249,2012-09-06,9,6,2012,36,5,Thu,1
250,2012-09-07,9,7,2012,36,6,Fri,1
251,2012-09-08,9,8,2012,36,7,Sat,2
252,2012-09-09,9,9,2012,37,1,Sun,2
253,2012-09-10,9,10,2012,37,2,Mon,2
254,2012-09-11,9,11,2012,37,3,Tue,2
255,2012-09-12,9,12,2012,37,4,Wed,2
256,2012-09-13,9,13,2012,37,5,Thu,2
257,2012-09-14,9,14,2012,37,6,Fri,2
258,2012-09-15,9,15,2012,37,7,Sat,3
259,2012-09-16,9,16,2012,38,1,Sun,3
260,2012-09-17,9,17,2012,38,2,Mon,3
261,2012-09-18,9,18,2012,38,3,Tue,3
262,2012-09-19,9,19,2012,38,4,Wed,3
263,2012-09-20,9,20,2012,38,5,Thu,3
264,2012-09-21,9,21,2012,38,6,Fri,3
265,2012-09-22,9,22,2012,38,7,Sat,4
266,2012-09-23,9,23,2012,39,1,Sun,4
267,2012-09-24,9,24,2012,39,2,Mon,4
268,2012-09-25,9,25,2012,39,3,Tue,4
269,2012-09-26,9,26,2012,39,4,Wed,4
270,2012-09-27,9,27,2012,39,5,Thu,4
271,2012-09-28,9,28,2012,39,6,Fri,4
272,2012-09-29,9,29,2012,39,7,Sat,5
273,2012-09-30,9,30,2012,40,1,Sun,5
274,2012-10-01,10,1,2012,40,2,Mon,1
275,2012-10-02,10,2,2012,40,3,Tue,1
276,2012-10-03,10,3,2012,40,4,Wed,1
277,2012-10-04,10,4,2012,40,5,Thu,1
278,2012-10-05,10,5,2012,40,6,Fri,1
279,2012-10-06,10,6,2012,40,7,Sat,1
280,2012-10-07,10,7,2012,41,1,Sun,1
281,2012-10-08,10,8,2012,41,2,Mon,2
282,2012-10-09,10,9,2012,41,3,Tue,2
283,2012-10-10,10,10,2012,41,4,Wed,2
284,2012-10-11,10,11,2012,41,5,Thu,2
285,2012-10-12,10,12,2012,41,6,Fri,2
286,2012-10-13,10,13,2012,41,7,Sat,2
287,2012-10-14,10,14,2012,42,1,Sun,2
288,2012-10-15,10,15,2012,42,2,Mon,3
289,2012-10-16,10,16,2012,42,3,Tue,3
290,2012-10-17,10,17,2012,42,4,Wed,3
291,2012-10-18,10,18,2012,42,5,Thu,3
292,2012-10-19,10,19,2012,42,6,Fri,3
293,2012-10-20,10,20,2012,42,7,Sat,3
294,2012-10-21,10,21,2012,43,1,Sun,3
295,2012-10-22,10,22,2012,43,2,Mon,4
296,2012-10-23,10,23,2012,43,3,Tue,4
297,2012-10-24,10,24,2012,43,4,Wed,4
298,2012-10-25,10,25,2012,43,5,Thu,4
299,2012-10-26,10,26,2012,43,6,Fri,4
300,2012-10-27,10,27,2012,43,7,Sat,4
301,2012-10-28,10,28,2012,44,1,Sun,4
302,2012-10-29,10,29,2012,44,2,Mon,5
303,2012-10-30,10,30,2012,44,3,Tue,5
304,2012-10-31,10,31,2012,44,4,Wed,5
305,2012-11-01,11,1,2012,44,5,Thu,1
306,2012-11-02,11,2,2012,44,6,Fri,1
307,2012-11-03,11,3,2012,44,7,Sat,1
308,2012-11-04,11,4,2012,45,1,Sun,1
309,2012-11-05,11,5,2012,45,2,Mon,1
310,2012-11-06,11,6,2012,45,3,Tue,1
311,2012-11-07,11,7,2012,45,4,Wed,1
312,2012-11-08,11,8,2012,45,5,Thu,2
313,2012-11-09,11,9,2012,45,6,Fri,2
314,2012-11-10,11,10,2012,45,7,Sat,2
315,2012-11-11,11,11,2012,46,1,Sun,2
316,2012-11-12,11,12,2012,46,2,Mon,2
317,2012-11-13,11,13,2012,46,3,Tue,2
318,2012-11-14,11,14,2012,46,4,Wed,2
319,2012-11-15,11,15,2012,46,5,Thu,3
320,2012-11-16,11,16,2012,46,6,Fri,3
321,2012-11-17,11,17,2012,46,7,Sat,3
322,2012-11-18,11,18,2012,47,1,Sun,3
323,2012-11-19,11,19,2012,47,2,Mon,3
324,2012-11-20,11,20,2012,47,3,Tue,3
325,2012-11-21,11,21,2012,47,4,Wed,3
326,2012-11-22,11,22,2012,47,5,Thu,4
327,2012-11-23,11,23,2012,47,6,Fri,4
328,2012-11-24,11,24,2012,47,7,Sat,4
329,2012-11-25,11,25,2012,48,1,Sun,4
330,2012-11-26,11,26,2012,48,2,Mon,4
331,2012-11-27,11,27,2012,48,3,Tue,4
332,2012-11-28,11,28,2012,48,4,Wed,4
333,2012-11-29,11,29,2012,48,5,Thu,5
334,2012-11-30,11,30,2012,48,6,Fri,5
335,2012-12-01,12,1,2012,48,7,Sat,1
336,2012-12-02,12,2,2012,49,1,Sun,1
337,2012-12-03,12,3,2012,49,2,Mon,1
338,2012-12-04,12,4,2012,49,3,Tue,1
339,2012-12-05,12,5,2012,49,4,Wed,1
340,2012-12-06,12,6,2012,49,5,Thu,1
341,2012-12-07,12,7,2012,49,6,Fri,1
342,2012-12-08,12,8,2012,49,7,Sat,2
343,2012-12-09,12,9,2012,50,1,Sun,2
344,2012-12-10,12,10,2012,50,2,Mon,2
345,2012-12-11,12,11,2012,50,3,Tue,2
346,2012-12-12,12,12,2012,50,4,Wed,2
347,2012-12-13,12,13,2012,50,5,Thu,2
348,2012-12-14,12,14,2012,50,6,Fri,2
349,2012-12-15,12,15,2012,50,7,Sat,3
350,2012-12-16,12,16,2012,51,1,Sun,3
351,2012-12-17,12,17,2012,51,2,Mon,3
352,2012-12-18,12,18,2012,51,3,Tue,3
353,2012-12-19,12,19,2012,51,4,Wed,3
354,2012-12-20,12,20,2012,51,5,Thu,3
355,2012-12-21,12,21,2012,51,6,Fri,3
356,2012-12-22,12,22,2012,51,7,Sat,4
357,2012-12-23,12,23,2012,52,1,Sun,4
358,2012-12-24,12,24,2012,52,2,Mon,4
359,2012-12-25,12,25,2012,52,3,Tue,4
360,2012-12-26,12,26,2012,52,4,Wed,4
361,2012-12-27,12,27,2012,52,5,Thu,4
362,2012-12-28,12,28,2012,52,6,Fri,4
363,2012-12-29,12,29,2012,52,7,Sat,5
364,2012-12-30,12,30,2012,53,1,Sun,5
365,2012-12-31,12,31,2012,53,2,Mon,5
366,2013-01-01,1,1,2013,1,3,Tue,1
367,2013-01-02,1,2,2013,1,4,Wed,1
368,2013-01-03,1,3,2013,1,5,Thu,1
369,2013-01-04,1,4,2013,1,6,Fri,1
370,2013-01-05,1,5,2013,1,7,Sat,1
371,2013-01-06,1,6,2013,2,1,Sun,1
372,2013-01-07,1,7,2013,2,2,Mon,1
373,2013-01-08,1,8,2013,2,3,Tue,2
374,2013-01-09,1,9,2013,2,4,Wed,2
375,2013-01-10,1,10,2013,2,5,Thu,2
376,2013-01-11,1,11,2013,2,6,Fri,2
377,2013-01-12,1,12,2013,2,7,Sat,2
378,2013-01-13,1,13,2013,3,1,Sun,2
379,2013-01-14,1,14,2013,3,2,Mon,2
380,2013-01-15,1,15,2013,3,3,Tue,3
381,2013-01-16,1,16,2013,3,4,Wed,3
382,2013-01-17,1,17,2013,3,5,Thu,3
383,2013-01-18,1,18,2013,3,6,Fri,3
384,2013-01-19,1,19,2013,3,7,Sat,3
385,2013-01-20,1,20,2013,4,1,Sun,3
386,2013-01-21,1,21,2013,4,2,Mon,3
387,2013-01-22,1,22,2013,4,3,Tue,4
388,2013-01-23,1,23,2013,4,4,Wed,4
389,2013-01-24,1,24,2013,4,5,Thu,4
390,2013-01-25,1,25,2013,4,6,Fri,4
391,2013-01-26,1,26,2013,4,7,Sat,4
392,2013-01-27,1,27,2013,5,1,Sun,4
393,2013-01-28,1,28,2013,5,2,Mon,4
394,2013-01-29,1,29,2013,5,3,Tue,5
395,2013-01-30,1,30,2013,5,4,Wed,5
396,2013-01-31,1,31,2013,5,5,Thu,5
397,2013-02-01,2,1,2013,5,6,Fri,1
398,2013-02-02,2,2,2013,5,7,Sat,1
399,2013-02-03,2,3,2013,6,1,Sun,1
400,2013-02-04,2,4,2013,6,2,Mon,1
401,2013-02-05,2,5,2013,6,3,Tue,1
402,2013-02-06,2,6,2013,6,4,Wed,1
403,2013-02-07,2,7,2013,6,5,Thu,1
404,2013-02-08,2,8,2013,6,6,Fri,2
405,2013-02-09,2,9,2013,6,7,Sat,2
406,2013-02-10,2,10,2013,7,1,Sun,2
407,2013-02-11,2,11,2013,7,2,Mon,2
408,2013-02-12,2,12,2013,7,3,Tue,2
409,2013-02-13,2,13,2013,7,4,Wed,2
410,2013-02-14,2,14,2013,7,5,Thu,2
411,2013-02-15,2,15,2013,7,6,Fri,3
412,2013-02-16,2,16,2013,7,7,Sat,3
413,2013-02-17,2,17,2013,8,1,Sun,3
414,2013-02-18,2,18,2013,8,2,Mon,3
415,2013-02-19,2,19,2013,8,3,Tue,3
416,2013-02-20,2,20,2013,8,4,Wed,3
417,2013-02-21,2,21,2013,8,5,Thu,3
418,2013-02-22,2,22,2013,8,6,Fri,4
419,2013-02-23,2,23,2013,8,7,Sat,4
420,2013-02-24,2,24,2013,9,1,Sun,4
421,2013-02-25,2,25,2013,9,2,Mon,4
422,2013-02-26,2,26,2013,9,3,Tue,4
423,2013-02-27,2,27,2013,9,4,Wed,4
424,2013-02-28,2,28,2013,9,5,Thu,4
425,2013-03-01,3,1,2013,9,6,Fri,1
426,2013-03-02,3,2,2013,9,7,Sat,1
427,2013-03-03,3,3,2013,10,1,Sun,1
428,2013-03-04,3,4,2013,10,2,Mon,1
429,2013-03-05,3,5,2013,10,3,Tue,1
430,2013-03-06,3,6,2013,10,4,Wed,1
431,2013-03-07,3,7,2013,10,5,Thu,1
432,2013-03-08,3,8,2013,10,6,Fri,2
433,2013-03-09,3,9,2013,10,7,Sat,2
434,2013-03-10,3,10,2013,11,1,Sun,2
435,2013-03-11,3,11,2013,11,2,Mon,2
436,2013-03-12,3,12,2013,11,3,Tue,2
437,2013-03-13,3,13,2013,11,4,Wed,2
438,2013-03-14,3,14,2013,11,5,Thu,2
439,2013-03-15,3,15,2013,11,6,Fri,3
440,2013-03-16,3,16,2013,11,7,Sat,3
441,2013-03-17,3,17,2013,12,1,Sun,3
442,2013-03-18,3,18,2013,12,2,Mon,3
443,2013-03-19,3,19,2013,12,3,Tue,3
444,2013-03-20,3,20,2013,12,4,Wed,3
445,2013-03-21,3,21,2013,12,5,Thu,3
446,2013-03-22,3,22,2013,12,6,Fri,4
447,2013-03-23,3,23,2013,12,7,Sat,4
448,2013-03-24,3,24,2013,13,1,Sun,4
449,2013-03-25,3,25,2013,13,2,Mon,4
450,2013-03-26,3,26,2013,13,3,Tue,4
451,2013-03-27,3,27,2013,13,4,Wed,4
452,2013-03-28,3,28,2013,13,5,Thu,4
453,2013-03-29,3,29,2013,13,6,Fri,5
454,2013-03-30,3,30,2013,13,7,Sat,5
455,2013-03-31,3,31,2013,14,1,Sun,5
456,2013-04-01,4,1,2013,14,2,Mon,1
457,2013-04-02,4,2,2013,14,3,Tue,1
458,2013-04-03,4,3,2013,14,4,Wed,1
459,2013-04-04,4,4,2013,14,5,Thu,1
460,2013-04-05,4,5,2013,14,6,Fri,1
461,2013-04-06,4,6,2013,14,7,Sat,1
462,2013-04-07,4,7,2013,15,1,Sun,1
463,2013-04-08,4,8,2013,15,2,Mon,2
464,2013-04-09,4,9,2013,15,3,Tue,2
465,2013-04-10,4,10,2013,15,4,Wed,2
466,2013-04-11,4,11,2013,15,5,Thu,2
467,2013-04-12,4,12,2013,15,6,Fri,2
468,2013-04-13,4,13,2013,15,7,Sat,2
469,2013-04-14,4,14,2013,16,1,Sun,2
470,2013-04-15,4,15,2013,16,2,Mon,3
471,2013-04-16,4,16,2013,16,3,Tue,3
472,2013-04-17,4,17,2013,16,4,Wed,3
473,2013-04-18,4,18,2013,16,5,Thu,3
474,2013-04-19,4,19,2013,16,6,Fri,3
475,2013-04-20,4,20,2013,16,7,Sat,3
476,2013-04-21,4,21,2013,17,1,Sun,3
477,2013-04-22,4,22,2013,17,2,Mon,4
478,2013-04-23,4,23,2013,17,3,Tue,4
479,2013-04-24,4,24,2013,17,4,Wed,4
480,2013-04-25,4,25,2013,17,5,Thu,4
481,2013-04-26,4,26,2013,17,6,Fri,4
482,2013-04-27,4,27,2013,17,7,Sat,4
483,2013-04-28,4,28,2013,18,1,Sun,4
484,2013-04-29,4,29,2013,18,2,Mon,5
485,2013-04-30,4,30,2013,18,3,Tue,5
486,2013-05-01,5,1,2013,18,4,Wed,1
487,2013-05-02,5,2,2013,18,5,Thu,1
488,2013-05-03,5,3,2013,18,6,Fri,1
489,2013-05-04,5,4,2013,18,7,Sat,1
490,2013-05-05,5,5,2013,19,1,Sun,1
491,2013-05-06,5,6,2013,19,2,Mon,1
492,2013-05-07,5,7,2013,19,3,Tue,1
493,2013-05-08,5,8,2013,19,4,Wed,2
494,2013-05-09,5,9,2013,19,5,Thu,2
495,2013-05-10,5,10,2013,19,6,Fri,2
496,2013-05-11,5,11,2013,19,7,Sat,2
497,2013-05-12,5,12,2013,20,1,Sun,2
498,2013-05-13,5,13,2013,20,2,Mon,2
499,2013-05-14,5,14,2013,20,3,Tue,2
500,2013-05-15,5,15,2013,20,4,Wed,3
501,2013-05-16,5,16,2013,20,5,Thu,3
502,2013-05-17,5,17,2013,20,6,Fri,3
503,2013-05-18,5,18,2013,20,7,Sat,3
504,2013-05-19,5,19,2013,21,1,Sun,3
505,2013-05-20,5,20,2013,21,2,Mon,3
506,2013-05-21,5,21,2013,21,3,Tue,3
507,2013-05-22,5,22,2013,21,4,Wed,4
508,2013-05-23,5,23,2013,21,5,Thu,4
509,2013-05-24,5,24,2013,21,6,Fri,4
510,2013-05-25,5,25,2013,21,7,Sat,4
511,2013-05-26,5,26,2013,22,1,Sun,4
512,2013-05-27,5,27,2013,22,2,Mon,4
513,2013-05-28,5,28,2013,22,3,Tue,4
514,2013-05-29,5,29,2013,22,4,Wed,5
515,2013-05-30,5,30,2013,22,5,Thu,5
516,2013-05-31,5,31,2013,22,6,Fri,5
517,2013-06-01,6,1,2013,22,7,Sat,1
518,2013-06-02,6,2,2013,23,1,Sun,1
519,2013-06-03,6,3,2013,23,2,Mon,1
520,2013-06-04,6,4,2013,23,3,Tue,1
521,2013-06-05,6,5,2013,23,4,Wed,1
522,2013-06-06,6,6,2013,23,5,Thu,1
523,2013-06-07,6,7,2013,23,6,Fri,1
524,2013-06-08,6,8,2013,23,7,Sat,2
525,2013-06-09,6,9,2013,24,1,Sun,2
526,2013-06-10,6,10,2013,24,2,Mon,2
527,2013-06-11,6,11,2013,24,3,Tue,2
528,2013-06-12,6,12,2013,24,4,Wed,2
529,2013-06-13,6,13,2013,24,5,Thu,2
530,2013-06-14,6,14,2013,24,6,Fri,2
531,2013-06-15,6,15,2013,24,7,Sat,3
532,2013-06-16,6,16,2013,25,1,Sun,3
533,2013-06-17,6,17,2013,25,2,Mon,3
534,2013-06-18,6,18,2013,25,3,Tue,3
